Magadino-Cadenazzo
Messstation Nr.:  11
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 09 10    145.00      0.50
2022 01 02 09 20     56.00      0.90
2022 01 02 09 30     36.00      0.70
2022 01 02 09 40     24.00      0.80
2022 01 02 09 50    109.00      0.60
2022 01 02 10 00     63.00      0.50
2022 01 02 10 10    124.00      0.60
2022 01 02 10 20    169.00      0.30
2022 01 02 10 30    325.00      0.30
2022 01 02 10 40    331.00      0.20
2022 01 02 10 50    328.00      0.10
2022 01 02 11 00    229.00      0.40
2022 01 02 11 10    190.00      0.30
2022 01 02 11 20    109.00      0.50
2022 01 02 11 30     86.00      1.00
2022 01 02 11 40     75.00      0.60
2022 01 02 11 50    136.00      0.20
2022 01 02 12 00    202.00      1.30
2022 01 02 12 10    218.00      0.90
2022 01 02 12 20    181.00      1.10
2022 01 02 12 30    149.00      0.30
2022 01 02 12 40    149.00      0.40
2022 01 02 12 50    132.00      0.30
2022 01 02 13 00    333.00      0.20
2022 01 02 13 10    231.00      1.60
2022 01 02 13 20    228.00      1.80
2022 01 02 13 30    269.00      1.20
2022 01 02 13 40    261.00      1.20
2022 01 02 13 50    249.00      1.30
2022 01 02 14 00    222.00      0.90
2022 01 02 14 10    272.00      0.70
2022 01 02 14 20    236.00      1.70
2022 01 02 14 30    250.00      1.90
2022 01 02 14 40    243.00      1.50
2022 01 02 14 50    229.00      1.40
2022 01 02 15 00    223.00      0.90
2022 01 02 15 10    225.00      0.50
2022 01 02 15 20    188.00      0.90
2022 01 02 15 30    185.00      0.90
2022 01 02 15 40    175.00      0.30
2022 01 02 15 50    217.00      0.20
2022 01 02 16 00    291.00      0.70
2022 01 02 16 10    268.00      1.20
2022 01 02 16 20    227.00      0.90
2022 01 02 16 30    128.00      0.70
2022 01 02 16 40     71.00      1.70
2022 01 02 16 50    130.00      1.00
2022 01 02 17 00     72.00      0.90
2022 01 02 17 10     85.00      0.90
2022 01 02 17 20     87.00      1.30
2022 01 02 17 30     84.00      0.70
2022 01 02 17 40     10.00      0.20
2022 01 02 17 50    323.00      0.10
2022 01 02 18 00    232.00      0.40
2022 01 02 18 10     11.00      0.60
2022 01 02 18 20     96.00      1.20
2022 01 02 18 30     83.00      0.50
2022 01 02 18 40    357.00      0.20
2022 01 02 18 50    287.00      0.80
2022 01 02 19 00    249.00      1.20
2022 01 02 19 10    246.00      0.20
2022 01 02 19 20     63.00      1.00
2022 01 02 19 30     96.00      0.60
2022 01 02 19 40    141.00      0.70
2022 01 02 19 50     90.00      0.20
2022 01 02 20 00    302.00      0.40
2022 01 02 20 10    220.00      0.50
2022 01 02 20 20    314.00      0.20
2022 01 02 20 30     20.00      0.30
2022 01 02 20 40     43.00      0.40
2022 01 02 20 50     83.00      0.70
2022 01 02 21 00     71.00      0.90
2022 01 02 21 10    195.00      0.60
2022 01 02 21 20    355.00      0.30
2022 01 02 21 30     44.00      0.30
2022 01 02 21 40     63.00      0.90
2022 01 02 21 50     85.00      0.80
2022 01 02 22 00    151.00      0.40
2022 01 02 22 10     19.00      0.90
2022 01 02 22 20     61.00      0.50
2022 01 02 22 30    166.00      0.80
2022 01 02 22 40    179.00      0.10
2022 01 02 22 50    115.00      0.60
2022 01 02 23 00     33.00      1.70
2022 01 02 23 10     50.00      0.70
2022 01 02 23 20    148.00      1.50
2022 01 02 23 30     21.00      1.00
2022 01 02 23 40    145.00      0.70
2022 01 02 23 50    134.00      0.60
2022 01 02 24 00     41.00      0.90
2022 01 03 00 10    182.00      0.20
2022 01 03 00 20     57.00      0.20
2022 01 03 00 30    101.00      0.20
2022 01 03 00 40    133.00      0.20
2022 01 03 00 50     33.00      0.60
2022 01 03 01 00     55.00      0.60
2022 01 03 01 10    268.00      0.30
2022 01 03 01 20    282.00      0.50
2022 01 03 01 30    217.00      1.00
2022 01 03 01 40    225.00      0.90
2022 01 03 01 50    231.00      0.30
2022 01 03 02 00     15.00      0.60
2022 01 03 02 10     84.00      0.70
2022 01 03 02 20    123.00      0.30
2022 01 03 02 30     57.00      0.60
2022 01 03 02 40    125.00      0.80
2022 01 03 02 50     78.00      1.40
2022 01 03 03 00     95.00      1.10
2022 01 03 03 10    115.00      1.00
2022 01 03 03 20    137.00      0.40
2022 01 03 03 30     84.00      0.60
2022 01 03 03 40     17.00      0.30
2022 01 03 03 50    322.00      0.40
2022 01 03 04 00    117.00      0.90
