Lausanne-César-Roux
Messstation Nr.:   9
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 12 00    162.41      0.63
2022 01 02 12 10    265.67      0.79
2022 01 02 12 20     94.67      0.55
2022 01 02 12 30    105.74      1.04
2022 01 02 12 40    186.73      0.79
2022 01 02 12 50    122.62      1.28
2022 01 02 13 00    129.95      1.37
2022 01 02 13 10    125.62      1.26
2022 01 02 13 20    142.89      0.90
2022 01 02 13 30    133.89      0.68
2022 01 02 13 40    278.97      0.55
2022 01 02 13 50    168.57      0.78
2022 01 02 14 00    108.91      1.28
2022 01 02 14 10    133.83      0.83
2022 01 02 14 20    264.87      0.53
2022 01 02 14 30    276.12      1.14
2022 01 02 14 40    289.94      1.59
2022 01 02 14 50    324.13      1.15
2022 01 02 15 00    279.50      1.00
2022 01 02 15 10    125.48      0.66
2022 01 02 15 20    327.92      0.78
2022 01 02 15 30    235.49      0.38
2022 01 02 15 40    147.49      0.46
2022 01 02 15 50    137.41      0.82
2022 01 02 16 00    121.12      1.24
2022 01 02 16 10    120.34      1.08
2022 01 02 16 20     68.26      0.31
2022 01 02 16 30    298.74      0.55
2022 01 02 16 40    306.77      0.42
2022 01 02 16 50    104.20      1.01
2022 01 02 17 00     96.37      1.17
2022 01 02 17 10    116.79      1.02
2022 01 02 17 20     80.17      1.03
2022 01 02 17 30     85.42      0.68
2022 01 02 17 40     90.87      1.11
2022 01 02 17 50     85.64      0.88
2022 01 02 18 00     33.06      0.68
2022 01 02 18 10    339.39      0.69
2022 01 02 18 20    279.00      0.76
2022 01 02 18 30    322.11      0.89
2022 01 02 18 40    316.77      1.08
2022 01 02 18 50    325.54      0.68
2022 01 02 19 00     19.78      0.58
2022 01 02 19 10    305.98      0.79
2022 01 02 19 20    329.69      0.70
2022 01 02 19 30    298.08      0.59
2022 01 02 19 40    237.49      0.51
2022 01 02 19 50    303.50      0.72
2022 01 02 20 00    331.89      0.48
2022 01 02 20 10    139.05      0.67
2022 01 02 20 20    278.75      0.49
2022 01 02 20 30    296.27      0.43
2022 01 02 20 40    314.20      0.78
2022 01 02 20 50    279.50      1.01
2022 01 02 21 00    313.94      1.17
2022 01 02 21 10    330.80      1.34
2022 01 02 21 20    316.57      1.37
2022 01 02 21 30    285.18      1.49
2022 01 02 21 40    266.78      0.75
2022 01 02 21 50    293.78      0.69
2022 01 02 22 00    321.53      0.76
2022 01 02 22 10    302.61      1.44
2022 01 02 22 20    285.93      1.59
2022 01 02 22 30    285.18      1.76
2022 01 02 22 40    284.62      2.17
2022 01 02 22 50    279.08      2.38
2022 01 02 23 00    289.53      1.21
2022 01 02 23 10    289.28      2.01
2022 01 02 23 20    286.33      1.91
2022 01 02 23 30    275.72      1.64
2022 01 02 23 40    276.45      1.60
2022 01 02 23 50    288.12      0.98
2022 01 02 24 00    287.79      1.00
2022 01 03 00 10    281.57      1.24
